,cuisine_name
0,nepalese
1,portuguese
2,kebab
3,mexican
4,momos
5,vegan
6,german
7,tea
8,sushi
9,mughlai
10,japanese
11,desserts
12,mangalorean
13,asian
14,spanish
15,naga
16,singaporean
17,cafe
18,parsi
19,rolls
20,kerala
21,wraps
22,iranian
23,chinese
24,lucknowi
25,goan
26,burmese
27,oriya
28,bakery
29,gujarati
30,continental
31,belgian
32,mediterranean
33,arabian
34,biryani
35,maharashtrian
36,afghani
37,korean
38,awadhi
39,bbq
40,european
41,indonesian
42,sandwich
43,cantonese
44,hyderabadi
45,coffee
46,bihari
47,jewish
48,juices
49,assamese
50,beverages
51,sindhi
52,french
53,andhra
54,bengali
55,chettinad
56,russian
57,turkish
58,thai
59,afghan
60,tibetan
61,kashmiri
62,lebanese
63,steak
64,salad
65,burger
66,seafood
67,vietnamese
68,malaysian
69,bohri
70,british
71,grill
72,greek
73,american
74,konkan
75,african
76,rajasthani
77,pizza
78,mithai
79,italian
