,stop_words
0,aadi
1,aaj
2,aap
3,aapne
4,aata
5,aati
6,aaya
7,aaye
8,ab
9,abbe
10,abbey
11,abe
12,abhi
13,able
14,about
15,above
16,accha
17,according
18,accordingly
19,acha
20,achcha
21,across
22,actually
23,after
24,afterwards
25,again
26,against
27,agar
28,ain
29,aint
30,ain't
31,aisa
32,aise
33,aisi
34,alag
35,all
36,allow
37,allows
38,almost
39,alone
40,along
41,already
42,also
43,although
44,always
45,am
46,among
47,amongst
48,an
49,and
50,andar
51,another
52,any
53,anybody
54,anyhow
55,anyone
56,anything
57,anyway
58,anyways
59,anywhere
60,ap
61,apan
62,apart
63,apna
64,apnaa
65,apne
66,apni
67,appear
68,are
69,aren
70,arent
71,aren't
72,around
73,arre
74,as
75,aside
76,ask
77,asking
78,at
79,aur
80,avum
81,aya
82,aye
83,baad
84,baar
85,bad
86,bahut
87,bana
88,banae
89,banai
90,banao
91,banaya
92,banaye
93,banayi
94,banda
95,bande
96,bandi
97,bane
98,bani
99,bas
100,bata
101,batao
102,bc
103,be
104,became
105,because
106,become
107,becomes
108,becoming
109,been
110,before
111,beforehand
112,behind
113,being
114,below
115,beside
116,besides
117,best
118,better
119,between
120,beyond
121,bhai
122,bheetar
123,bhi
124,bhitar
125,bht
126,bilkul
127,bohot
128,bol
129,bola
130,bole
131,boli
132,bolo
133,bolta
134,bolte
135,bolti
136,both
137,brief
138,bro
139,btw
140,but
141,by
142,came
143,can
144,cannot
145,cant
146,can't
147,cause
148,causes
149,certain
150,certainly
151,chahiye
152,chaiye
153,chal
154,chalega
155,chhaiye
156,clearly
157,c'mon
158,com
159,come
160,comes
161,could
162,couldn
163,couldnt
164,couldn't
165,d
166,de
167,dede
168,dega
169,degi
170,dekh
171,dekha
172,dekhe
173,dekhi
174,dekho
175,denge
176,dhang
177,di
178,did
179,didn
180,didnt
181,didn't
182,dijiye
183,diya
184,diyaa
185,diye
186,diyo
187,do
188,does
189,doesn
190,doesnt
191,doesn't
192,doing
193,done
194,dono
195,dont
196,don't
197,doosra
198,doosre
199,down
200,downwards
201,dude
202,dunga
203,dungi
204,during
205,dusra
206,dusre
207,dusri
208,dvaara
209,dvara
